url,name,reais,cents
https://produto.mercadolivre.com.br/MLB-3694511118-spray-de-gengibre-defesa-pessoal-liberado-para-uso-civil-_JM#position=41&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Gengibre Defesa Pessoal Liberado Para Uso Civil,94,33
https://produto.mercadolivre.com.br/MLB-1887756915-kit-02-und-spray-de-defesa-pessoal-110ml-pimenta-nato-_JM#position=42&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Kit 02 Und. Spray De Defesa Pessoal 110ml Pimenta Nato,138,00
https://produto.mercadolivre.com.br/MLB-1824545231-spray-de-defesa-pessoal-anl-brasil-gengibre-legalizado-nevoa-_JM#position=43&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Defesa Pessoal Anl Brasil Gengibre Legalizado Névoa,113,90
https://produto.mercadolivre.com.br/MLB-1012599246-spray-pimenta-chaveiro-forte-vermelho-p-defesa-de-bolso-20ml-_JM#position=44&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Pimenta Chaveiro Forte Vermelho P Defesa De Bolso 20ml,47,49
https://produto.mercadolivre.com.br/MLB-3348766309-spray-defesa-pessoal-de-gengibre-nacional-extra-forte-_JM#position=45&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Defesa Pessoal De Gengibre Nacional Extra Forte,94,74
https://produto.mercadolivre.com.br/MLB-1926197449-kit-02-spray-pimenta-para-defesa-imobilizante-40ml-_JM#position=46&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Kit 02 Spray Pimenta Para Defesa Imobilizante 40ml,108,90
https://produto.mercadolivre.com.br/MLB-3342391827-spray-de-pimenta-extra-forte-110-mls-kit-03-und-_JM#position=47&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray De Pimenta Extra Forte 110 Mls Kit 03 Und. ,199,00
https://produto.mercadolivre.com.br/MLB-1824695813-spray-defesa-pessoal-anl-brasil-50g-em-nevoa-cidado-branco-_JM#position=48&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Defesa Pessoal Anl Brasil 50g Em Névoa Cidadão Branco,99,90
https://produto.mercadolivre.com.br/MLB-3338235521-spray-pimenta-batom-20-ml-super-forte-de-bolso-imobilizam-te-_JM#position=49&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Pimenta Batom 20 Ml Super Forte De Bolso Imobilizam-te,37,50
https://produto.mercadolivre.com.br/MLB-3294005823-spray-defesa-pessoal-jato-direcionado-50g-poly-defensor-ntk-_JM#position=50&search_layout=stack&type=item&tracking_id=86c01c1d-d069-469e-90a2-902eb07cd9d1,Spray Defesa Pessoal Jato Direcionado 50g Poly Defensor Ntk,119,90
